CCAA;Fuente;R1 sin guardias bruto mes;R2 sin guardias bruto mes;R3 sin guardias bruto mes;R4 sin guardias bruto mes;R5 sin guardias bruto mes;R1 guardia lab €/h;R1 guardia fest €/h;R1 guardia especial €/h;R2 guardia lab €/h;R2 guardia fest €/h;R2 guardia especial €/h;R3 guardia lab €/h;R3 guardia fest €/h;R3 guardia especial €/h;R4/R5 guardia lab €/h;R4/R5 guardia fest €/h;R4/R5 guardia especial €/h;R1 con 80h neto mes;R1 con 80h bruto mes;R5 con 80h neto mes;R5 con 80h bruto mes
Andalucía;SIMEG + SAS;1380;1490;1628;1766;1904;14.07;15.78;28.14;15.42;17.28;30.84;18.02;20.17;36.04;20.22;22.61;40.44;1925;2557;2563;3594
Aragón;SIMEG + SALUD;1387;1498;1637;1776;1914;17.34;18.58;34.68;18.79;20.13;37.58;20.23;21.68;40.46;21.68;23.23;43.36;2083;2796;2611;3675
Asturias;SIMEG;1387;1498;1637;1776;1914;17.01;18.18;25.81;19.32;20.66;29.32;21.65;23.14;32.84;23.97;25.63;36.36;2089;2783;2757;3881
Baleares;SIMEG + Ibsalut;1638;1776;1915;2054;2193;19.29;21.21;42.44;21.08;23.18;46.36;23.49;25.83;51.68;25.91;28.28;56.99;2407;3239;3041;4337
Canarias;SIMEG + SCS;1591;1702;1841;1979;2118;11.2;17.92;22.4;13.66;21.86;27.32;16.15;25.84;32.3;18.59;29.74;37.18;2012;2689;2770;3940
Cantabria;SIMEG;1380;1489;1626;1763;1899;16.8;19.52;31.43;19.02;20.78;33.46;21.47;23.41;37.68;23.95;26.07;41.33;2067;2770;2717;3851
Castilla y León;SIMEG;1380;1490;1628;1766;1904;15.48;17.34;27.98;17.74;19.8;31.9;20.08;22.38;36.0;22.34;24.88;40.1;2003;2674;2667;3768
Castilla-La Mancha;SIMEG + SESCAM;1387;1498;1637;1776;1914;18.21;19.53;26.34;21.67;23.23;30.12;24.28;25.97;33.85;27.74;29.7;39.52;2141;2884;2919;4192
Cataluña;SIMEG;1504;1618;1757;1897;2044;18.88;20.6;41.17;22.66;24.71;49.38;26.42;28.83;57.63;28.3;30.86;61.4;2279;3066;3065;4385
Com. Valenciana;SIMEG + CESM-CV/SATSE;1502;1622;1770;1917;2065;13.9;15.9;27.8;16.42;18.41;32.84;18.95;20.95;37.9;21.48;23.48;42.96;2000;2674;2708;3843
Extremadura;SIMEG + SES;1414;1525;1664;1803;1941;15.16;16.58;21.96;16.56;17.94;23.33;17.94;19.85;24.71;19.85;21.26;26.08;2000;2670;2549;3572
Galicia;SIMEG;1387;1498;1636;1774;1912;16.05;17.18;17.18;18.37;19.69;19.69;20.7;22.17;22.17;22.9;24.53;24.53;2014;2705;2667;3793
La Rioja;SIMEG;1387;1498;1637;1776;1914;15.71;16.47;32.94;18.57;19.46;38.92;20.0;20.96;41.92;22.85;23.94;47.88;1998;2667;2671;3775
Madrid;SIMEG + BOCM;1526;1637;1775;1914;2053;12.5;14.87;29.74;15.0;17.36;34.72;17.59;19.85;39.7;19.99;22.33;44.66;1948;2597;2635;3722
Murcia;SIMEG;1474;1498;1637;1776;1914;16.56;17.75;33.12;19.0;21.39;38.0;21.06;23.46;42.12;22.4;25.95;44.8;2107;2834;2694;3813
Navarra;SIMEG;1387;1498;1637;1776;1914;19.39;19.39;38.78;22.6;22.6;45.2;25.83;25.83;51.66;28.45;28.45;56.9;2192;2938;2875;4190
País Vasco;SIMEG;1484;1597;1738;1879;2020;17.18;18.9;34.36;18.75;20.62;37.5;21.86;24.06;43.72;24.99;28.74;49.98;2216;2910;2979;4131
